Time_in_hr,A1,A2,A3,A5,A6,B1,B2,B3,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,Mean,Std,Median
0.168055556,0.405,0.347,0.35,0.349,0.342,0.342,0.356,0.343,0.362,0.336,0.339,0.342,0.351,0.362,0.343,0.334,0.328,0.33,0.337,0.346,0.339,0.33,0.329,0.327,0.339,0.337,0.33,0.337,0.32,0.323,0.335,0.339,0.335,0.324,0.329,0.324,0.322,0.316,0.338921052631579,0.01551874468827481,0.337
0.342777778,0.391,0.347,0.352,0.35,0.343,0.342,0.356,0.342,0.363,0.337,0.341,0.343,0.352,0.363,0.344,0.334,0.329,0.33,0.338,0.346,0.339,0.331,0.33,0.327,0.339,0.337,0.331,0.337,0.32,0.324,0.336,0.34,0.337,0.324,0.329,0.324,0.323,0.318,0.3391842105263158,0.013962992134921729,0.3375
0.5175,0.372,0.347,0.352,0.35,0.342,0.344,0.357,0.343,0.363,0.337,0.341,0.344,0.353,0.363,0.344,0.334,0.33,0.332,0.338,0.346,0.339,0.331,0.332,0.327,0.339,0.337,0.33,0.337,0.32,0.325,0.337,0.34,0.337,0.325,0.329,0.325,0.323,0.318,0.3390263157894737,0.012224226813785766,0.3375
0.692222222,0.349,0.347,0.353,0.35,0.343,0.344,0.357,0.344,0.364,0.337,0.343,0.344,0.352,0.364,0.342,0.334,0.331,0.332,0.338,0.346,0.34,0.331,0.332,0.328,0.341,0.337,0.331,0.337,0.321,0.324,0.339,0.34,0.337,0.325,0.329,0.325,0.323,0.318,0.33873684210526306,0.011129906656868756,0.3385
0.866944444,0.334,0.347,0.354,0.352,0.342,0.344,0.357,0.344,0.365,0.338,0.344,0.344,0.352,0.364,0.343,0.334,0.333,0.331,0.339,0.347,0.34,0.331,0.333,0.328,0.341,0.337,0.331,0.337,0.32,0.325,0.34,0.341,0.338,0.325,0.329,0.325,0.323,0.318,0.3386842105263157,0.011196295871929158,0.3385
1.041666667,0.328,0.347,0.354,0.352,0.343,0.345,0.357,0.344,0.366,0.339,0.344,0.344,0.352,0.364,0.344,0.334,0.334,0.332,0.339,0.348,0.34,0.331,0.334,0.328,0.341,0.337,0.331,0.337,0.32,0.325,0.341,0.343,0.338,0.325,0.329,0.325,0.323,0.318,0.3388421052631578,0.011403001775941871,0.339
1.216388889,0.32,0.347,0.354,0.353,0.343,0.344,0.357,0.344,0.366,0.337,0.344,0.345,0.352,0.363,0.343,0.334,0.336,0.332,0.34,0.347,0.34,0.331,0.334,0.329,0.341,0.337,0.331,0.337,0.32,0.325,0.342,0.342,0.339,0.325,0.329,0.325,0.323,0.317,0.3386315789473684,0.011632714941018885,0.3395
1.391111111,0.319,0.347,0.354,0.353,0.343,0.345,0.357,0.344,0.366,0.337,0.345,0.345,0.352,0.363,0.343,0.334,0.337,0.332,0.34,0.347,0.34,0.33,0.335,0.329,0.341,0.337,0.331,0.337,0.32,0.326,0.343,0.343,0.339,0.325,0.33,0.325,0.323,0.319,0.3388421052631579,0.011577065668904773,0.3395
1.565833333,0.32,0.348,0.355,0.354,0.343,0.346,0.358,0.344,0.366,0.338,0.346,0.346,0.352,0.364,0.344,0.335,0.338,0.333,0.34,0.347,0.341,0.331,0.336,0.33,0.341,0.338,0.332,0.337,0.32,0.325,0.344,0.344,0.34,0.325,0.33,0.326,0.324,0.319,0.33947368421052626,0.011654338809506556,0.34
1.740555556,0.321,0.348,0.355,0.354,0.344,0.346,0.359,0.345,0.368,0.337,0.345,0.346,0.352,0.363,0.344,0.335,0.338,0.334,0.341,0.348,0.341,0.331,0.337,0.33,0.341,0.338,0.332,0.337,0.321,0.325,0.344,0.344,0.34,0.325,0.331,0.326,0.324,0.319,0.3397105263157894,0.011670957011031382,0.3405
1.915277778,0.32,0.348,0.355,0.355,0.344,0.346,0.36,0.345,0.368,0.339,0.346,0.347,0.352,0.364,0.344,0.335,0.339,0.334,0.341,0.348,0.341,0.332,0.338,0.331,0.341,0.338,0.332,0.338,0.321,0.327,0.345,0.345,0.341,0.326,0.331,0.326,0.324,0.319,0.3401578947368421,0.011737043036125546,0.341
2.09,0.32,0.349,0.355,0.354,0.345,0.346,0.359,0.346,0.368,0.339,0.346,0.347,0.352,0.363,0.345,0.336,0.34,0.335,0.342,0.348,0.341,0.332,0.339,0.331,0.341,0.338,0.333,0.338,0.321,0.326,0.346,0.346,0.341,0.326,0.331,0.327,0.324,0.321,0.3404473684210525,0.011540053324203579,0.341
2.264722222,0.321,0.349,0.355,0.355,0.345,0.347,0.359,0.345,0.369,0.339,0.346,0.348,0.352,0.364,0.345,0.336,0.34,0.335,0.343,0.349,0.342,0.332,0.34,0.331,0.341,0.338,0.333,0.338,0.321,0.327,0.346,0.346,0.342,0.326,0.33,0.327,0.324,0.32,0.34068421052631576,0.011724553269096692,0.3415
2.439444444,0.322,0.35,0.356,0.356,0.345,0.347,0.36,0.346,0.37,0.34,0.347,0.348,0.353,0.364,0.346,0.336,0.341,0.336,0.342,0.349,0.342,0.333,0.342,0.332,0.342,0.339,0.333,0.339,0.322,0.327,0.348,0.347,0.342,0.327,0.332,0.328,0.325,0.32,0.34142105263157896,0.011705003732401504,0.342
2.614166667,0.321,0.349,0.356,0.355,0.346,0.348,0.36,0.346,0.37,0.34,0.348,0.349,0.353,0.364,0.346,0.337,0.342,0.337,0.343,0.349,0.343,0.333,0.341,0.333,0.343,0.339,0.334,0.34,0.323,0.327,0.348,0.348,0.343,0.327,0.332,0.328,0.325,0.321,0.3417631578947368,0.01161414377834737,0.343
2.788888889,0.322,0.35,0.357,0.356,0.346,0.348,0.36,0.346,0.37,0.341,0.348,0.349,0.354,0.365,0.346,0.337,0.342,0.337,0.344,0.35,0.343,0.334,0.342,0.333,0.342,0.339,0.334,0.34,0.324,0.327,0.349,0.348,0.342,0.327,0.332,0.328,0.326,0.321,0.3420789473684211,0.011658152417125903,0.342
2.963611111,0.321,0.35,0.357,0.356,0.346,0.348,0.36,0.346,0.371,0.342,0.348,0.349,0.353,0.365,0.346,0.337,0.343,0.338,0.344,0.35,0.343,0.334,0.343,0.333,0.343,0.34,0.334,0.34,0.324,0.329,0.348,0.349,0.343,0.327,0.332,0.329,0.326,0.321,0.34231578947368424,0.011631981224096083,0.343
3.138333333,0.323,0.351,0.357,0.356,0.348,0.349,0.36,0.347,0.372,0.342,0.349,0.35,0.355,0.365,0.347,0.339,0.344,0.338,0.345,0.351,0.344,0.335,0.344,0.334,0.343,0.341,0.335,0.341,0.324,0.329,0.35,0.349,0.343,0.328,0.333,0.329,0.327,0.322,0.34313157894736834,0.011571565926013862,0.344
3.313055556,0.323,0.352,0.357,0.357,0.349,0.35,0.361,0.347,0.371,0.343,0.35,0.351,0.355,0.365,0.347,0.339,0.345,0.339,0.346,0.352,0.345,0.336,0.345,0.335,0.344,0.341,0.335,0.342,0.325,0.33,0.351,0.35,0.344,0.329,0.334,0.331,0.327,0.323,0.3438421052631579,0.011405371697414667,0.345
3.487777778,0.324,0.352,0.359,0.356,0.349,0.351,0.362,0.347,0.372,0.344,0.351,0.351,0.356,0.366,0.348,0.34,0.346,0.34,0.346,0.353,0.346,0.337,0.346,0.335,0.345,0.341,0.336,0.343,0.327,0.33,0.351,0.351,0.345,0.329,0.334,0.331,0.328,0.323,0.3445,0.011467344941179703,0.346
3.6625,0.324,0.352,0.359,0.356,0.351,0.352,0.361,0.348,0.373,0.345,0.352,0.352,0.356,0.366,0.349,0.341,0.346,0.341,0.348,0.354,0.347,0.337,0.347,0.336,0.346,0.342,0.336,0.344,0.327,0.331,0.352,0.352,0.346,0.33,0.335,0.333,0.329,0.324,0.3452631578947369,0.011351114269691076,0.3465
3.837222222,0.325,0.354,0.361,0.357,0.352,0.353,0.363,0.349,0.375,0.348,0.353,0.354,0.356,0.367,0.35,0.343,0.349,0.343,0.35,0.355,0.349,0.34,0.349,0.337,0.347,0.343,0.338,0.346,0.329,0.332,0.354,0.353,0.348,0.331,0.335,0.334,0.329,0.325,0.3467368421052631,0.011488382405661796,0.349
4.011944444,0.326,0.355,0.362,0.358,0.353,0.353,0.363,0.35,0.377,0.348,0.355,0.355,0.357,0.367,0.351,0.344,0.35,0.344,0.35,0.356,0.35,0.341,0.35,0.338,0.348,0.343,0.339,0.347,0.33,0.333,0.355,0.354,0.348,0.331,0.337,0.336,0.33,0.327,0.3476578947368421,0.011407148815402035,0.35
4.186666667,0.327,0.356,0.363,0.357,0.354,0.355,0.363,0.349,0.376,0.35,0.355,0.356,0.358,0.367,0.352,0.345,0.351,0.345,0.351,0.358,0.352,0.342,0.351,0.339,0.349,0.344,0.34,0.349,0.331,0.333,0.356,0.356,0.349,0.332,0.338,0.336,0.331,0.327,0.3485,0.011298768170121995,0.3505
4.361388889,0.329,0.358,0.365,0.359,0.357,0.356,0.364,0.351,0.379,0.352,0.358,0.358,0.359,0.368,0.353,0.347,0.353,0.347,0.353,0.36,0.354,0.344,0.353,0.34,0.351,0.345,0.342,0.351,0.334,0.335,0.358,0.357,0.351,0.334,0.338,0.338,0.333,0.329,0.35034210526315784,0.01130959008454824,0.3525
4.536111111,0.33,0.359,0.365,0.359,0.358,0.358,0.365,0.351,0.38,0.353,0.359,0.359,0.36,0.368,0.354,0.349,0.355,0.349,0.355,0.361,0.355,0.346,0.355,0.34,0.352,0.346,0.343,0.352,0.335,0.336,0.359,0.358,0.352,0.334,0.339,0.34,0.334,0.33,0.35139473684210537,0.011262325317202377,0.3535
4.710833333,0.332,0.361,0.368,0.359,0.36,0.36,0.365,0.351,0.382,0.355,0.361,0.36,0.361,0.369,0.356,0.352,0.357,0.351,0.357,0.364,0.359,0.349,0.357,0.342,0.353,0.347,0.345,0.356,0.337,0.338,0.362,0.36,0.354,0.336,0.341,0.343,0.337,0.332,0.3533947368421052,0.01113926455353947,0.356
4.885555556,0.334,0.363,0.37,0.36,0.362,0.362,0.366,0.353,0.384,0.358,0.365,0.363,0.363,0.37,0.359,0.354,0.36,0.353,0.36,0.367,0.361,0.352,0.36,0.343,0.355,0.349,0.348,0.358,0.34,0.34,0.364,0.362,0.356,0.338,0.342,0.345,0.338,0.334,0.3555526315789474,0.01122424347278127,0.3585
5.060277778,0.335,0.365,0.372,0.36,0.366,0.364,0.367,0.354,0.388,0.361,0.367,0.365,0.364,0.371,0.361,0.357,0.364,0.356,0.363,0.37,0.365,0.355,0.363,0.346,0.357,0.351,0.35,0.362,0.341,0.343,0.367,0.364,0.358,0.34,0.344,0.349,0.341,0.338,0.35799999999999993,0.011289794482605047,0.361
