Time_in_hr,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,Mean,Std,Median
0.168055556,0.362,0.374,0.336,0.336,0.341,0.337,0.343,0.333,0.333,0.342,0.348,0.329,0.335,0.342,0.348,0.351,0.337,0.326,0.325,0.328,0.337,0.343,0.336,0.329,0.334,0.327,0.345,0.339,0.327,0.331,0.313,0.341,0.333,0.337,0.328,0.324,0.325,0.315,0.315,0.318,0.3350749999999999,0.011960163578334234,0.3355
0.342777778,0.363,0.369,0.34,0.339,0.342,0.336,0.344,0.333,0.334,0.343,0.348,0.33,0.337,0.343,0.349,0.351,0.337,0.326,0.326,0.328,0.337,0.342,0.337,0.329,0.336,0.327,0.345,0.339,0.327,0.331,0.313,0.34,0.335,0.338,0.329,0.324,0.324,0.316,0.316,0.318,0.335525,0.01161340405936837,0.3365
0.5175,0.363,0.36,0.341,0.338,0.344,0.336,0.345,0.333,0.335,0.343,0.349,0.33,0.338,0.343,0.349,0.351,0.337,0.326,0.326,0.328,0.337,0.343,0.337,0.329,0.337,0.328,0.344,0.339,0.327,0.33,0.312,0.34,0.336,0.338,0.33,0.324,0.325,0.316,0.316,0.318,0.33552499999999996,0.011119369793984932,0.337
0.692222222,0.363,0.361,0.341,0.339,0.345,0.337,0.345,0.332,0.335,0.344,0.349,0.331,0.338,0.343,0.35,0.352,0.337,0.326,0.327,0.329,0.338,0.343,0.337,0.329,0.339,0.328,0.344,0.339,0.328,0.33,0.313,0.341,0.337,0.339,0.331,0.324,0.325,0.316,0.315,0.317,0.3359249999999999,0.011285087732410633,0.337
0.866944444,0.363,0.36,0.341,0.34,0.345,0.337,0.345,0.334,0.336,0.343,0.35,0.331,0.338,0.345,0.349,0.351,0.337,0.325,0.329,0.329,0.339,0.344,0.337,0.329,0.339,0.329,0.345,0.339,0.327,0.331,0.313,0.341,0.338,0.34,0.331,0.324,0.326,0.317,0.316,0.317,0.33625000000000005,0.011118822110646655,0.3375
1.041666667,0.363,0.361,0.342,0.34,0.345,0.337,0.346,0.335,0.336,0.343,0.35,0.332,0.339,0.344,0.349,0.352,0.337,0.326,0.331,0.331,0.34,0.343,0.337,0.329,0.341,0.329,0.345,0.34,0.327,0.331,0.313,0.34,0.339,0.34,0.332,0.324,0.326,0.317,0.316,0.317,0.33662500000000006,0.011125594193293498,0.338
1.216388889,0.363,0.361,0.342,0.34,0.346,0.338,0.347,0.334,0.336,0.343,0.35,0.332,0.34,0.345,0.349,0.353,0.337,0.327,0.331,0.332,0.34,0.343,0.337,0.329,0.342,0.331,0.345,0.34,0.329,0.331,0.314,0.34,0.34,0.342,0.333,0.324,0.325,0.317,0.316,0.318,0.33705,0.011080012033687803,0.339
1.391111111,0.363,0.362,0.342,0.341,0.345,0.338,0.347,0.335,0.337,0.343,0.351,0.332,0.34,0.345,0.35,0.353,0.337,0.326,0.333,0.332,0.339,0.344,0.338,0.329,0.342,0.331,0.345,0.34,0.328,0.331,0.314,0.341,0.341,0.341,0.333,0.325,0.326,0.317,0.316,0.317,0.33724999999999994,0.011201533777762705,0.3385
1.565833333,0.363,0.362,0.342,0.342,0.347,0.339,0.348,0.335,0.337,0.343,0.351,0.332,0.341,0.345,0.35,0.353,0.337,0.326,0.334,0.333,0.34,0.344,0.338,0.329,0.344,0.332,0.345,0.341,0.328,0.332,0.314,0.341,0.341,0.342,0.333,0.325,0.327,0.317,0.317,0.318,0.33769999999999994,0.011161288410141492,0.3395
1.740555556,0.364,0.362,0.342,0.341,0.345,0.339,0.348,0.335,0.338,0.343,0.351,0.333,0.341,0.345,0.35,0.353,0.338,0.326,0.334,0.334,0.34,0.344,0.338,0.329,0.344,0.332,0.346,0.341,0.327,0.332,0.315,0.341,0.342,0.343,0.334,0.325,0.327,0.317,0.317,0.318,0.33784999999999993,0.011148301008880914,0.3395
1.915277778,0.363,0.362,0.342,0.342,0.346,0.339,0.348,0.335,0.337,0.343,0.351,0.333,0.342,0.346,0.351,0.353,0.337,0.326,0.334,0.334,0.341,0.344,0.339,0.33,0.344,0.332,0.346,0.341,0.327,0.332,0.315,0.341,0.342,0.344,0.334,0.325,0.328,0.317,0.318,0.318,0.33804999999999985,0.011100820020530238,0.34
2.09,0.364,0.362,0.342,0.341,0.346,0.339,0.348,0.336,0.338,0.344,0.351,0.333,0.342,0.346,0.35,0.353,0.337,0.326,0.335,0.335,0.341,0.344,0.339,0.329,0.344,0.332,0.346,0.341,0.328,0.332,0.315,0.342,0.342,0.344,0.334,0.325,0.328,0.318,0.317,0.318,0.3381749999999999,0.011114526184578996,0.34
2.264722222,0.364,0.363,0.342,0.342,0.346,0.34,0.349,0.336,0.338,0.344,0.351,0.334,0.343,0.346,0.351,0.354,0.338,0.328,0.336,0.336,0.341,0.345,0.339,0.331,0.345,0.333,0.347,0.342,0.328,0.333,0.315,0.342,0.342,0.345,0.336,0.326,0.329,0.318,0.317,0.319,0.3388500000000001,0.011076771722612668,0.3405
2.439444444,0.364,0.363,0.343,0.344,0.348,0.34,0.35,0.336,0.338,0.344,0.352,0.334,0.343,0.347,0.351,0.354,0.338,0.328,0.336,0.337,0.342,0.345,0.339,0.331,0.346,0.334,0.347,0.341,0.329,0.333,0.315,0.342,0.343,0.346,0.335,0.325,0.328,0.318,0.318,0.319,0.33914999999999995,0.011219374268396556,0.3405
2.614166667,0.365,0.363,0.343,0.343,0.347,0.34,0.35,0.338,0.339,0.344,0.352,0.334,0.343,0.347,0.351,0.354,0.339,0.328,0.337,0.337,0.343,0.346,0.339,0.332,0.346,0.334,0.347,0.341,0.329,0.333,0.316,0.343,0.343,0.346,0.335,0.326,0.328,0.318,0.319,0.32,0.33945000000000003,0.011059164896371154,0.3405
2.788888889,0.365,0.364,0.343,0.343,0.347,0.342,0.351,0.338,0.339,0.343,0.352,0.334,0.344,0.348,0.352,0.354,0.339,0.329,0.338,0.338,0.344,0.346,0.34,0.332,0.347,0.335,0.348,0.342,0.329,0.334,0.316,0.344,0.344,0.346,0.336,0.326,0.328,0.319,0.319,0.32,0.3399500000000001,0.011133110699447555,0.342
2.963611111,0.366,0.365,0.344,0.346,0.348,0.342,0.351,0.339,0.341,0.345,0.354,0.336,0.345,0.349,0.353,0.355,0.34,0.33,0.339,0.339,0.343,0.347,0.342,0.333,0.349,0.336,0.348,0.343,0.33,0.334,0.317,0.344,0.345,0.348,0.336,0.327,0.33,0.319,0.32,0.32,0.3409500000000001,0.011236273677418415,0.3425
3.138333333,0.366,0.365,0.344,0.345,0.348,0.342,0.352,0.339,0.341,0.345,0.353,0.336,0.346,0.349,0.353,0.355,0.339,0.33,0.339,0.339,0.344,0.347,0.341,0.334,0.349,0.336,0.348,0.343,0.331,0.335,0.318,0.344,0.346,0.348,0.337,0.327,0.329,0.321,0.32,0.321,0.3411250000000001,0.011010921151991978,0.3425
3.313055556,0.367,0.366,0.344,0.346,0.348,0.343,0.353,0.34,0.341,0.345,0.354,0.337,0.346,0.35,0.354,0.356,0.34,0.33,0.339,0.34,0.344,0.348,0.342,0.334,0.35,0.337,0.349,0.343,0.33,0.336,0.318,0.345,0.347,0.348,0.336,0.327,0.331,0.321,0.321,0.322,0.34169999999999995,0.0111773580658997,0.343
3.487777778,0.368,0.367,0.345,0.347,0.349,0.344,0.354,0.341,0.343,0.346,0.355,0.338,0.348,0.351,0.355,0.364,0.341,0.332,0.341,0.342,0.347,0.349,0.344,0.335,0.351,0.339,0.35,0.344,0.332,0.337,0.319,0.346,0.348,0.35,0.338,0.329,0.332,0.322,0.323,0.323,0.343225,0.011332927971634522,0.344
3.6625,0.369,0.368,0.345,0.347,0.348,0.345,0.355,0.342,0.344,0.347,0.356,0.339,0.349,0.353,0.356,0.358,0.341,0.333,0.342,0.343,0.346,0.35,0.344,0.337,0.353,0.339,0.351,0.345,0.333,0.338,0.32,0.347,0.349,0.351,0.338,0.329,0.333,0.323,0.323,0.324,0.34382499999999994,0.01113526967653817,0.345
3.837222222,0.369,0.368,0.346,0.348,0.349,0.346,0.356,0.342,0.344,0.346,0.356,0.339,0.35,0.353,0.357,0.359,0.342,0.334,0.343,0.343,0.348,0.351,0.344,0.338,0.354,0.341,0.351,0.345,0.332,0.339,0.321,0.347,0.35,0.351,0.338,0.33,0.333,0.324,0.324,0.324,0.3443749999999999,0.011079404547546988,0.3455
4.011944444,0.371,0.371,0.346,0.35,0.351,0.348,0.358,0.344,0.346,0.348,0.357,0.342,0.351,0.355,0.359,0.361,0.344,0.336,0.345,0.346,0.349,0.353,0.347,0.34,0.356,0.342,0.353,0.347,0.335,0.341,0.322,0.349,0.351,0.354,0.339,0.331,0.335,0.326,0.326,0.326,0.346275,0.011165394110421065,0.347
4.186666667,0.374,0.373,0.347,0.352,0.351,0.35,0.36,0.346,0.348,0.35,0.359,0.344,0.354,0.357,0.361,0.363,0.345,0.338,0.347,0.348,0.351,0.354,0.348,0.342,0.357,0.345,0.355,0.348,0.336,0.343,0.324,0.352,0.353,0.356,0.341,0.332,0.336,0.328,0.327,0.328,0.348075,0.01132364782214635,0.348
4.361388889,0.376,0.373,0.348,0.354,0.351,0.352,0.362,0.347,0.35,0.35,0.36,0.346,0.355,0.36,0.364,0.364,0.346,0.341,0.349,0.35,0.353,0.356,0.351,0.343,0.359,0.347,0.357,0.349,0.337,0.345,0.326,0.354,0.355,0.356,0.343,0.334,0.338,0.33,0.33,0.329,0.34975,0.011190082605501557,0.35
4.536111111,0.378,0.377,0.349,0.356,0.353,0.355,0.365,0.35,0.353,0.352,0.361,0.349,0.358,0.363,0.367,0.368,0.347,0.344,0.352,0.353,0.356,0.36,0.353,0.346,0.363,0.351,0.359,0.352,0.34,0.348,0.329,0.355,0.358,0.36,0.345,0.336,0.341,0.333,0.333,0.332,0.3525000000000001,0.011268289975606718,0.353
4.710833333,0.381,0.379,0.35,0.358,0.354,0.358,0.368,0.352,0.355,0.353,0.363,0.351,0.362,0.366,0.368,0.37,0.35,0.347,0.354,0.356,0.358,0.362,0.357,0.349,0.365,0.353,0.361,0.353,0.342,0.351,0.332,0.357,0.36,0.362,0.346,0.337,0.343,0.335,0.335,0.333,0.35465,0.011407487419706808,0.3545
4.885555556,0.384,0.383,0.353,0.362,0.357,0.361,0.373,0.356,0.359,0.356,0.366,0.356,0.365,0.37,0.374,0.374,0.352,0.352,0.359,0.359,0.363,0.367,0.36,0.354,0.369,0.357,0.366,0.357,0.345,0.355,0.335,0.362,0.364,0.365,0.35,0.34,0.348,0.34,0.339,0.338,0.358625,0.011448183149997968,0.359
5.060277778,0.388,0.387,0.354,0.366,0.357,0.365,0.376,0.36,0.362,0.357,0.369,0.359,0.37,0.374,0.378,0.378,0.354,0.356,0.362,0.363,0.367,0.371,0.365,0.359,0.373,0.361,0.369,0.359,0.346,0.36,0.338,0.365,0.368,0.369,0.353,0.343,0.351,0.344,0.344,0.341,0.36202499999999993,0.011772387292478217,0.362
5.235,0.393,0.392,0.357,0.369,0.359,0.369,0.382,0.363,0.367,0.36,0.372,0.364,0.375,0.379,0.382,0.388,0.357,0.36,0.367,0.368,0.371,0.376,0.37,0.364,0.378,0.367,0.373,0.363,0.348,0.365,0.343,0.369,0.372,0.373,0.356,0.346,0.357,0.349,0.348,0.345,0.3664,0.012332571009011377,0.367
5.409722222,0.398,0.397,0.36,0.374,0.361,0.375,0.388,0.37,0.372,0.363,0.376,0.372,0.381,0.385,0.389,0.389,0.361,0.368,0.373,0.374,0.377,0.382,0.376,0.371,0.384,0.373,0.378,0.367,0.354,0.371,0.347,0.375,0.378,0.379,0.361,0.35,0.361,0.355,0.354,0.349,0.3717,0.012570213061450338,0.373
