Time_in_hr,A1,A2,A3,A4,A5,A6,B1,B2,B3,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,Mean,Std,Median
0.168055556,0.363,0.382,0.343,0.35,0.349,0.339,0.343,0.339,0.339,0.355,0.335,0.333,0.345,0.352,0.362,0.342,0.33,0.325,0.332,0.338,0.352,0.339,0.331,0.333,0.329,0.344,0.342,0.331,0.335,0.312,0.316,0.339,0.348,0.336,0.326,0.327,0.32,0.32,0.312,0.33815384615384625,0.014163590203383905,0.339
0.342777778,0.365,0.375,0.344,0.35,0.351,0.34,0.344,0.34,0.34,0.356,0.335,0.337,0.346,0.352,0.363,0.342,0.33,0.325,0.332,0.339,0.352,0.338,0.33,0.336,0.329,0.344,0.342,0.329,0.335,0.312,0.318,0.341,0.35,0.338,0.325,0.328,0.32,0.32,0.312,0.33858974358974353,0.013855870784461053,0.339
0.5175,0.366,0.375,0.345,0.352,0.353,0.341,0.346,0.342,0.341,0.356,0.336,0.338,0.347,0.352,0.364,0.343,0.33,0.329,0.335,0.34,0.351,0.337,0.33,0.338,0.33,0.344,0.342,0.33,0.335,0.312,0.317,0.343,0.351,0.338,0.326,0.327,0.32,0.32,0.313,0.3393589743589744,0.01394063952978216,0.34
0.692222222,0.367,0.376,0.345,0.352,0.353,0.341,0.346,0.342,0.342,0.357,0.335,0.339,0.348,0.352,0.364,0.342,0.329,0.331,0.335,0.34,0.351,0.338,0.33,0.341,0.33,0.344,0.342,0.33,0.335,0.312,0.318,0.343,0.353,0.34,0.326,0.329,0.32,0.32,0.313,0.3397692307692308,0.01404777850664153,0.341
0.866944444,0.368,0.376,0.345,0.353,0.353,0.343,0.347,0.343,0.342,0.358,0.336,0.34,0.348,0.352,0.364,0.344,0.329,0.333,0.337,0.342,0.352,0.337,0.33,0.341,0.331,0.345,0.342,0.33,0.335,0.312,0.318,0.344,0.354,0.339,0.327,0.329,0.32,0.321,0.313,0.3403333333333333,0.01412599942124884,0.342
1.041666667,0.366,0.376,0.346,0.353,0.354,0.342,0.348,0.343,0.343,0.36,0.336,0.34,0.35,0.353,0.365,0.343,0.33,0.333,0.338,0.341,0.352,0.337,0.331,0.343,0.331,0.344,0.342,0.33,0.335,0.312,0.318,0.345,0.354,0.339,0.328,0.328,0.321,0.32,0.314,0.3406153846153846,0.014143280689570133,0.342
1.216388889,0.367,0.376,0.345,0.353,0.354,0.343,0.347,0.343,0.343,0.359,0.337,0.341,0.351,0.352,0.365,0.343,0.33,0.334,0.339,0.342,0.352,0.338,0.331,0.343,0.332,0.345,0.343,0.33,0.335,0.313,0.318,0.346,0.354,0.339,0.327,0.328,0.321,0.322,0.314,0.34089743589743593,0.014003373412737802,0.343
1.391111111,0.368,0.376,0.345,0.353,0.354,0.342,0.348,0.343,0.343,0.358,0.337,0.342,0.35,0.352,0.365,0.344,0.33,0.334,0.34,0.341,0.352,0.338,0.332,0.344,0.332,0.345,0.342,0.33,0.335,0.313,0.318,0.346,0.355,0.34,0.328,0.329,0.32,0.322,0.314,0.3410256410256411,0.014010310450535263,0.342
1.565833333,0.368,0.376,0.346,0.352,0.354,0.344,0.348,0.343,0.343,0.359,0.337,0.342,0.351,0.353,0.366,0.344,0.331,0.335,0.34,0.342,0.353,0.339,0.332,0.344,0.332,0.345,0.343,0.331,0.336,0.313,0.319,0.346,0.356,0.34,0.328,0.328,0.321,0.321,0.315,0.3414358974358974,0.01403153379430711,0.343
1.740555556,0.367,0.375,0.346,0.352,0.355,0.344,0.348,0.343,0.343,0.358,0.338,0.342,0.35,0.353,0.366,0.344,0.331,0.334,0.34,0.342,0.353,0.339,0.331,0.345,0.332,0.345,0.343,0.331,0.336,0.313,0.318,0.346,0.357,0.34,0.328,0.329,0.321,0.321,0.315,0.34138461538461534,0.013971051621148978,0.343
