Time_in_hr,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C5,C6,D1,D3,D5,D6,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,Mean,Std,Median
0.168055556,0.358,0.352,0.351,0.361,0.339,0.35,0.332,0.342,0.348,0.349,0.341,0.349,0.348,0.352,0.352,0.326,0.336,0.344,0.332,0.328,0.342,0.331,0.341,0.338,0.324,0.332,0.312,0.321,0.342,0.345,0.339,0.32,0.325,0.316,0.338764705882353,0.012245119803488337,0.341
0.342777778,0.36,0.352,0.354,0.362,0.34,0.348,0.334,0.344,0.349,0.352,0.34,0.35,0.35,0.353,0.353,0.326,0.339,0.344,0.331,0.327,0.345,0.334,0.341,0.338,0.323,0.332,0.312,0.321,0.346,0.348,0.339,0.322,0.327,0.315,0.339735294117647,0.01272865729672772,0.3405
0.5175,0.361,0.352,0.353,0.363,0.342,0.35,0.338,0.345,0.348,0.349,0.34,0.351,0.352,0.354,0.354,0.327,0.34,0.345,0.331,0.328,0.347,0.335,0.342,0.339,0.324,0.332,0.312,0.323,0.345,0.35,0.342,0.323,0.326,0.316,0.3405588235294119,0.012659147313116586,0.342
0.692222222,0.361,0.351,0.352,0.364,0.342,0.349,0.337,0.345,0.347,0.349,0.339,0.351,0.352,0.356,0.353,0.327,0.341,0.348,0.331,0.327,0.348,0.335,0.343,0.34,0.324,0.332,0.313,0.322,0.346,0.351,0.341,0.323,0.326,0.315,0.3406176470588235,0.012829924078951421,0.3425
0.866944444,0.36,0.352,0.352,0.361,0.341,0.349,0.336,0.345,0.348,0.349,0.339,0.35,0.35,0.356,0.353,0.327,0.341,0.348,0.331,0.328,0.348,0.335,0.343,0.34,0.324,0.332,0.312,0.322,0.346,0.351,0.342,0.323,0.325,0.316,0.3404411764705882,0.01261598595450541,0.3425
1.041666667,0.357,0.349,0.35,0.362,0.34,0.348,0.337,0.344,0.346,0.348,0.339,0.35,0.351,0.356,0.353,0.327,0.341,0.344,0.331,0.328,0.348,0.335,0.343,0.339,0.323,0.332,0.312,0.322,0.346,0.351,0.342,0.324,0.326,0.316,0.34,0.012247448713915877,0.3425
1.216388889,0.359,0.351,0.351,0.363,0.34,0.348,0.336,0.344,0.347,0.348,0.338,0.35,0.351,0.355,0.353,0.327,0.342,0.345,0.332,0.328,0.348,0.335,0.344,0.34,0.323,0.332,0.313,0.323,0.347,0.352,0.342,0.324,0.327,0.316,0.34041176470588247,0.01235121794278732,0.34299999999999997
1.391111111,0.36,0.351,0.349,0.364,0.34,0.349,0.336,0.344,0.347,0.349,0.339,0.351,0.352,0.355,0.354,0.327,0.341,0.344,0.332,0.328,0.348,0.335,0.344,0.34,0.324,0.332,0.312,0.323,0.347,0.353,0.343,0.324,0.325,0.316,0.3405294117647059,0.012642485596896519,0.3435
1.565833333,0.36,0.354,0.353,0.364,0.341,0.35,0.337,0.345,0.35,0.349,0.34,0.352,0.352,0.355,0.353,0.327,0.343,0.347,0.333,0.329,0.35,0.336,0.344,0.34,0.325,0.333,0.313,0.323,0.347,0.353,0.343,0.326,0.328,0.316,0.3415,0.012584863442993236,0.3435
1.740555556,0.359,0.351,0.351,0.364,0.341,0.35,0.336,0.344,0.348,0.349,0.339,0.352,0.351,0.355,0.353,0.326,0.342,0.344,0.331,0.328,0.349,0.336,0.344,0.34,0.324,0.333,0.313,0.322,0.348,0.352,0.343,0.325,0.326,0.316,0.3407352941176471,0.012582596984747231,0.3435
1.915277778,0.36,0.352,0.352,0.36,0.341,0.349,0.359,0.343,0.348,0.35,0.341,0.352,0.352,0.355,0.353,0.327,0.342,0.346,0.332,0.328,0.35,0.335,0.344,0.34,0.324,0.333,0.313,0.323,0.348,0.353,0.343,0.325,0.327,0.316,0.34164705882352947,0.012777542688167776,0.3435
2.09,0.36,0.351,0.352,0.361,0.339,0.349,0.336,0.343,0.348,0.349,0.338,0.351,0.351,0.354,0.353,0.327,0.342,0.345,0.332,0.329,0.348,0.336,0.344,0.34,0.323,0.332,0.311,0.323,0.347,0.351,0.342,0.324,0.326,0.316,0.3403823529411765,0.012465746293725708,0.3425
2.264722222,0.36,0.35,0.351,0.36,0.339,0.349,0.337,0.344,0.347,0.349,0.339,0.35,0.351,0.355,0.354,0.327,0.341,0.348,0.332,0.328,0.348,0.336,0.344,0.341,0.323,0.332,0.313,0.323,0.347,0.352,0.342,0.325,0.327,0.316,0.34058823529411775,0.012267517214564051,0.34299999999999997
2.439444444,0.359,0.35,0.35,0.359,0.339,0.348,0.337,0.344,0.347,0.35,0.338,0.35,0.351,0.354,0.353,0.327,0.341,0.347,0.332,0.328,0.348,0.336,0.344,0.34,0.323,0.332,0.312,0.322,0.347,0.351,0.342,0.325,0.326,0.316,0.3402352941176471,0.012190554772792291,0.34299999999999997
2.614166667,0.359,0.349,0.35,0.359,0.339,0.348,0.336,0.344,0.346,0.348,0.338,0.35,0.352,0.353,0.353,0.326,0.341,0.348,0.333,0.327,0.348,0.336,0.343,0.34,0.323,0.332,0.312,0.322,0.347,0.352,0.342,0.324,0.326,0.316,0.3400588235294118,0.012234925608052581,0.3425
2.788888889,0.359,0.35,0.35,0.359,0.341,0.349,0.336,0.343,0.346,0.349,0.339,0.351,0.352,0.354,0.354,0.327,0.341,0.347,0.331,0.328,0.349,0.337,0.344,0.34,0.323,0.332,0.312,0.323,0.347,0.352,0.342,0.324,0.327,0.316,0.34041176470588247,0.012274925530993807,0.3425
