temp_C,source,well,n_points,mu_max,t_at_mu_max_hr
27,PROCESSED,A1,138,0.40752455213879757,7.506388889
27,PROCESSED,A3,138,0.45202019188949427,7.506388889
27,PROCESSED,A4,138,0.4354206729592828,7.506388889
27,PROCESSED,A5,138,0.45090591570162586,7.506388889
27,PROCESSED,A6,138,0.4460967711946995,7.506388889
27,PROCESSED,B1,138,0.45256985187573573,7.506388889
27,PROCESSED,B2,138,0.4642014107147783,7.506388889
27,PROCESSED,C1,138,0.4353123142716565,7.331666667
27,PROCESSED,C2,138,0.4502010470898704,7.506388889
27,PROCESSED,D1,138,0.45885019157774765,7.506388889
27,PROCESSED,D2,138,0.46188646265119615,7.506388889
27,PROCESSED,E1,138,0.4514617266353168,7.506388889
27,PROCESSED,E2,138,0.44177444813915934,7.506388889
27,PROCESSED,E3,138,0.44048276866483327,7.506388889
27,PROCESSED,E4,138,0.4678529341873372,7.681111111
27,PROCESSED,E5,138,0.45613560291789956,7.506388889
27,PROCESSED,E6,138,0.4365919655933168,7.506388889
27,PROCESSED,E7,138,0.45505622484136965,7.506388889
27,PROCESSED,E8,138,0.45493409761284864,7.681111111
27,PROCESSED,F1,138,0.4374118321514162,7.506388889
27,PROCESSED,F2,138,0.42458914273583126,7.681111111
27,PROCESSED,F3,138,0.4328535088595028,7.681111111
27,PROCESSED,F4,138,0.4628344389575313,7.681111111
27,PROCESSED,F5,138,0.44559165060455097,7.681111111
27,PROCESSED,F6,138,0.45519308536978065,7.681111111
27,PROCESSED,F7,138,0.44672541613814265,7.681111111
27,PROCESSED,F8,138,0.4672650150664036,7.681111111
28,PROCESSED,A1,125,0.3115909155917638,9.9525
28,PROCESSED,A2,125,0.33279252819984073,9.603055556
28,PROCESSED,A3,125,0.31851720974218056,9.603055556
28,PROCESSED,A4,125,0.3241732792615045,9.428333333
28,PROCESSED,A5,125,0.33049447003560756,9.603055556
28,PROCESSED,A6,125,0.3387761899105548,10.12722222
28,PROCESSED,B1,125,0.33406076935251083,9.603055556
28,PROCESSED,B2,125,0.3508492568728028,10.12722222
28,PROCESSED,B3,125,0.3475672942982817,9.253611111
28,PROCESSED,B4,125,0.34338493634782685,9.428333333
28,PROCESSED,B5,125,0.34677507788229317,9.428333333
28,PROCESSED,B6,125,0.3334424492168817,9.428333333
28,PROCESSED,C1,125,0.32472035131649735,9.603055556
28,PROCESSED,C2,125,0.32998334394748485,9.428333333
28,PROCESSED,D1,125,0.33396067426355125,10.65138889
28,PROCESSED,D2,125,0.3458280827614152,9.603055556
28,PROCESSED,E1,125,0.32588735335315155,9.428333333
28,PROCESSED,E2,125,0.3551945641480062,9.9525
28,PROCESSED,E3,125,0.3305615207214787,9.603055556
28,PROCESSED,E4,125,0.34345280599628386,10.12722222
28,PROCESSED,E5,125,0.3586361552917534,9.603055556
28,PROCESSED,E6,125,0.3500707478975532,10.47666667
28,PROCESSED,E7,125,0.3511650587686488,9.428333333
28,PROCESSED,E8,125,0.3424421405985013,9.603055556
28,PROCESSED,F1,125,0.3287815336605471,9.603055556
28,PROCESSED,F2,125,0.3155414441344566,10.12722222
28,PROCESSED,F3,125,0.3305615205952477,9.603055556
28,PROCESSED,F4,125,0.34718316593611864,9.603055556
28,PROCESSED,F5,125,0.35486564706122004,10.30194444
28,PROCESSED,F6,125,0.34612829633653885,9.603055556
28,PROCESSED,F7,125,0.3447367144423551,9.603055556
28,PROCESSED,F8,125,0.33933149572413335,9.603055556
29,PROCESSED,A1,138,0.3593032763601378,8.729444444
29,PROCESSED,A2,138,0.3638099645363233,8.554722222
29,PROCESSED,A3,138,0.3616434789257448,8.554722222
29,PROCESSED,A5,138,0.38424378802539894,10.30194444
29,PROCESSED,A6,138,0.38752320155750886,8.554722222
29,PROCESSED,B1,138,0.37305448720553624,8.554722222
29,PROCESSED,B2,138,0.38581017705049236,9.777777778
29,PROCESSED,B3,138,0.3946669152925988,9.777777778
29,PROCESSED,B5,138,0.38411971229644026,8.729444444
29,PROCESSED,B6,138,0.3932814940968987,8.554722222
29,PROCESSED,C1,138,0.39339870182226455,8.554722222
29,PROCESSED,C2,138,0.38531213510948736,8.729444444
29,PROCESSED,C3,138,0.3982652117965393,9.078888889
29,PROCESSED,C4,138,0.401900870074384,9.9525
29,PROCESSED,C5,138,0.41114668752874983,8.904166667
29,PROCESSED,C6,138,0.3921677812133063,8.38
29,PROCESSED,D1,138,0.39957416662386724,8.38
29,PROCESSED,D2,138,0.38924820680841765,8.554722222
29,PROCESSED,D3,138,0.3992095510639355,8.554722222
29,PROCESSED,D4,138,0.3990594287470852,8.554722222
29,PROCESSED,D5,138,0.414075481732741,8.38
29,PROCESSED,D6,138,0.4039531808192325,8.38
29,PROCESSED,E1,138,0.39074435275472397,8.554722222
29,PROCESSED,E2,138,0.3921677812133082,9.078888889
29,PROCESSED,E3,138,0.39995468346230945,8.904166667
29,PROCESSED,E4,138,0.392059313057729,9.078888889
29,PROCESSED,E5,138,0.3886212617768845,8.729444444
29,PROCESSED,E6,138,0.4072204495831665,8.38
29,PROCESSED,E7,138,0.3973062019959199,8.554722222
29,PROCESSED,E8,138,0.38840356860170144,8.729444444
29,PROCESSED,F1,138,0.37885618248875585,8.554722222
29,PROCESSED,F2,138,0.37315400392619835,8.729444444
29,PROCESSED,F3,138,0.3815578602723021,8.729444444
29,PROCESSED,F4,138,0.3963321770653915,9.078888889
29,PROCESSED,F5,138,0.39307654880849807,9.078888889
29,PROCESSED,F6,138,0.39122397820095767,8.38
29,PROCESSED,F7,138,0.39227864288520253,8.729444444
29,PROCESSED,F8,138,0.4077204555144013,8.729444444
